,Outlier,Max,Ctx,Max_Ctx
4762,2,3655,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0.],0
3570,2,3655,[1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1.],0
2497,0,9304,[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0.],0
3660,0,9304,[1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1.],0
4213,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0.],0
2572,3,11842,[0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0.],0
4001,0,9304,[1. 1. 0. 1. 1. 1. 0. 0. 1. 0. 1. 1.],0
3467,2,3655,[0. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1.],0
2967,0,9304,[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],0
4929,3,11842,[0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 1.],0
4448,0,9304,[1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1. 0.],0
3475,0,9304,[1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1.],0
3105,14,27954,[0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1.],0
3862,2,3655,[1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 0.],0
4819,3,11842,[1. 1. 1. 0. 1. 1. 0. 0. 1. 0. 0. 1.],0
4778,3,11842,[1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1.],0
3911,0,9304,[1. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0.],0
4148,2,3655,[1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1.],0
3453,2,3655,[1. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1. 1.],0
3285,0,9304,[1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1.],0
2610,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1.],0
4274,14,27954,[0. 1. 1. 1. 1. 0. 1. 0. 1. 0. 1. 0.],0
4915,3,11842,[1. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 1.],0
4552,0,9304,[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],0
3625,7,24171,[0. 0. 1. 1. 1. 0. 1. 1. 1. 1. 1. 0.],0
4533,0,9304,[1. 0. 0. 1. 1. 0. 0. 0. 1. 1. 1. 0.],0
2761,8,23111,[0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1.],0
2714,2,3655,[1. 1. 0. 0. 1. 1. 1. 1. 0. 0. 1. 1.],0
3800,2,3655,[1. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1. 1.],0
4787,0,9304,[1. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1.],0
3789,0,9304,[1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1.],0
4061,0,9304,[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],0
4153,0,9304,[1. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1.],0
2635,2,3655,[1. 1. 0. 1. 1. 1. 1. 1. 0. 0. 1. 0.],0
4598,3,11842,[0. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 0.],0
3526,0,9304,[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1.],0
4291,0,9304,[1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1.],0
4882,0,9304,[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1.],0
4991,8,23111,[0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1.],0
4474,13,24441,[1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1.],0
3252,0,9304,[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1.],0
4745,2,3655,[1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 1. 0.],0
4536,2,3655,[0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0.],0
4937,2,3655,[0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1.],0
4807,2,3655,[1. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0.],0
2396,2,3655,[1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1.],0
4712,8,23111,[0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1.],0
4930,2,3655,[1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1.],0
4871,2,3655,[0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1.],0
4521,8,23111,[0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1.],0
2425,2,3655,[0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1. 1.],0
4591,0,9304,[1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1.],0
2803,0,9304,[1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0.],0
4743,0,9304,[1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0.],0
2618,2,3655,[0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0.],0
4514,2,3655,[0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1.],0
