,Outlier,Max,Ctx,Max_Ctx
372,283998,1601,[1. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 1.],0
381,254721,27984,[0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1.],0
286,283998,1601,[1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1.],0
463,254721,27984,[0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0.],0
310,254721,27984,[0. 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 1.],0
287,261016,5121,[1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1.],0
336,254721,27984,[0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1.],0
161,254627,24059,[1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 0. 0.],0
263,254386,19008,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1.],0
72,260996,18281,[1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0.],0
335,254721,27984,[1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1.],0
456,261016,5121,[1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1.],0
98,478431,3655,[0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 1. 1.],0
243,258670,23481,[1. 0. 0. 1. 0. 1. 1. 1. 0. 1. 1. 1.],0
447,258306,8607,[1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0.],0
92,254721,27984,[0. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1.],0
354,283998,1601,[1. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 1.],0
24,254627,24059,[0. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 0.],0
219,254721,27984,[0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 1.],0
404,254721,27984,[1. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1.],0
271,257547,27984,[0. 1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1.],0
84,507534,1601,[1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 1.],0
498,349795,3483,[0. 1. 1. 1. 0. 0. 1. 1. 0. 0. 1. 1.],0
307,258670,23481,[1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1.],0
253,257498,24059,[1. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1.],0
54,254721,27984,[1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1.],0
166,257547,27984,[1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0.],0
264,281824,12475,[1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0.],0
158,260996,18281,[1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1. 1.],0
45,254386,19008,[1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0.],0
214,254721,27984,[1. 1. 0. 0. 1. 1. 1. 0. 1. 1. 0. 1.],0
430,260996,18281,[1. 1. 1. 1. 0. 0. 1. 1. 0. 1. 0. 1.],0
165,254721,27984,[0. 1. 1. 1. 1. 0. 1. 1. 0. 1. 1. 1.],0
367,254721,27984,[1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 0.],0
478,254721,27984,[1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1.],0
284,260996,18281,[1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],0
